CUST_ID;BALANCE;BALANCE_FREQUENCY;PURCHASES;ONEOFF_PURCHASES;INSTALLMENTS_PURCHASES;CASH_ADVANCE;PURCHASES_FREQUENCY;ONEOFF_PURCHASES_FREQUENCY;PURCHASES_INSTALLMENTS_FREQUENCY;CASH_ADVANCE_FREQUENCY;CASH_ADVANCE_TRX;PURCHASES_TRX;CREDIT_LIMIT;PAYMENTS;MINIMUM_PAYMENTS;PRC_FULL_PAYMENT;TENURE
C10001;40900749;0.81818;95.4;0;95.4;0;0.166667;0;0.083333;0;0;2;1000;201802084;139509787;0;12
C10002;3202467416;0.90909;0;0;0;6442945483;0;0;0;0.25;4;0;7000;4103032597;1072340217;0.222222;12
C10003;2495148862;1;773.17;773.17;0;0;1;1;0;0;0;12;7500;622066742;627284787;0;12
C10004;1666670542;0.63636;1499;1499;0;205788017;0.083333;0.083333;0;0.083333;1;1;7500;0;;0;12
C10005;817714335;1;16;16;0;0;0.083333;0.083333;0;0;0;1;1200;678334763;244791237;0;12
C10006;1809828751;1;1333.28;0;1333.28;0;0.666667;0;0.583333;0;0;8;1800;140005777;2407246035;0;12
C10007;627260806;1;7091.01;6402.63;688.38;0;1;1;1;0;0;64;13500;6354314328;198065894;1;12
C10008;1823652743;1;436.2;0;436.2;0;1;0;1;0;0;12;2300;679065082;53203399;0;12
C10009;1014926473;1;861.49;661.49;200;0;0.333333;0.083333;0.25;0;0;5;7000;688278568;311963409;0;12
C10010;152225975;0.54546;1281.6;1281.6;0;0;0.166667;0.166667;0;0;0;3;11000;1164770591;100302262;0;12
C10011;1293124939;1;920.12;0;920.12;0;1;0;1;0;0;12;1200;1083301007;2172697765;0;12
C10012;630794744;0.81818;1492.18;1492.18;0;0;0.25;0.25;0;0;0;6;2000;705618627;155549069;0;12
C10013;151692862;1;3217.99;2500.23;717.76;0;1;0.25;0.916667;0;0;26;3000;608263689;490207013;0.25;12
C10014;921693369;1;2137.93;419.96;1717.97;0;0.75;0.166667;0.75;0;0;26;7500;1655891435;251137986;0.083333;12
C10015;2772772734;1;0;0;0;34681139;0;0;0;0.083333;1;0;3000;805647974;989962866;0;12
C10016;6886213231;1;1611.7;0;1611.7;2301491267;0.5;0;0.5;0.166667;4;11;8000;1993439277;210990649;0;12
C10017;2072074354;0.875;0;0;0;2784274703;0;0;0;0.25;3;0;3000;391974562;376579631;0;8
C10018;41089489;0.45455;519;0;519;0;0.416667;0;0.333333;0;0;8;2500;254590662;73203221;0.25;12
C10019;1989072228;1;504.35;166;338.35;0;0.666667;0.083333;0.583333;0;0;9;13000;1720837373;744613395;0;12
C10020;3577970933;1;398.64;0;398.64;0;1;0;1;0;0;12;4000;1053980464;1246554938;0;12
C10021;2016684686;1;176.68;0;176.68;0;0.666667;0;0.666667;0;0;8;2000;2230686;1355729726;0;12
C10022;6369531318;1;6359.95;5910.04;449.91;229028245;1;0.916667;1;0.333333;6;92;11250;2077959051;1659775075;0;12
C10023;13234224;0.63636;815.9;0;815.9;0;1;0;1;0;0;17;1800;2359629958;86329554;0;12
